DATE,MEHOINUSA646N
1984-01-01,22420
1985-01-01,23620
1986-01-01,24900
1987-01-01,26060
1988-01-01,27230
1989-01-01,28910
1990-01-01,29940
1991-01-01,30130
1992-01-01,30640
1993-01-01,31240
1994-01-01,32260
1995-01-01,34080
1996-01-01,35490
1997-01-01,37010
1998-01-01,38890
1999-01-01,40700
2000-01-01,41990
2001-01-01,42230
2002-01-01,42410
2003-01-01,43320
2004-01-01,44330
2005-01-01,46330
2006-01-01,48200
2007-01-01,50230
2008-01-01,50300
2009-01-01,49780
2010-01-01,49280
2011-01-01,50050
2012-01-01,51020
2013-01-01,53590
2014-01-01,53660
2015-01-01,56520
2016-01-01,59040
2017-01-01,61140
2018-01-01,63180
2019-01-01,68700
2020-01-01,68010
2021-01-01,70780
2022-01-01,74580
